"Name","Pin","Function","Symbolic name","Direction","Mode","Pad level","Pad strength","Pin function","Pad class","Power domain","Reset state"
"P20.10","E19","SDMMC4P_DATA2IN / SDMMC4P_D2","SDMMC4P_D2","Input/Output","Pull-up / Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEXT","PU1"
"P20.11","E20","SDMMC4P_DATA3IN / SDMMC4P_D3","SDMMC4P_D3","Input/Output","Pull-up / Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEXT","PU1"
"P20.12","D19","","","Input","Pull-up","CMOS/Automotive","","","FAST","VEXT","PU1"
"P20.13","D20","","","Input","Pull-up","CMOS/Automotive","","","FAST","VEXT","PU1"
"P20.14","C20","","","Input","Pull-up","CMOS/Automotive","","","FAST","VEXT","PU1"
"P21.0","K17","ASCLIN11_TXD","ASCLIN11_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","LVDS_RX / FAST","VEXT","PU1"
"P21.1","J17","ASCLIN11_RXD","ASCLIN11_RXD","Input","Pull-up","CMOS/Automotive","","","LVDS_RX / FAST","VEXT","PU1"
"P21.2","K19","GPIO","CAN_47STB","Output","Push-pull","CMOS/Automotive","Speed grade 4","","LVDS_RX / FAST","VEXT","PU1"
"P21.3","J19","","","Input","Pull-up","CMOS/Automotive","","","LVDS_RX / FAST","VEXT","PU1"
"P21.4","K20","GPIO","CAN_8BSTB","Output","Push-pull","CMOS/Automotive","Speed grade 4","","LVDS_TX / FAST","VEXT","PU1"
"P21.5","J20","GPIO","CAN_13STB","Output","Push-pull","CMOS/Automotive","Speed grade 4","","LVDS_TX / FAST","VEXT","PU1"
"P21.6/TDI","H17","","","Input","Pull-up","CMOS/Automotive","","","FAST","VEXT","PD / PU2"
"P21.7/TDO","H16","DAP3P_DAP2","DAP3P_DAP2","Output","Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEXT","PU2"
"P22.0","P20","QSPI4_M_TXD","QSPI4_M_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","LVDS_TX / FAST","VEXT","PU1"
"P22.1","P19","ASCLIN7_TXD","ASCLIN7_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","LVDS_TX / FAST","VEXT","PU1"
"P22.2","R20","QSPI4_M_SEL3","QSPI4_M_SEL3","Output","Push-pull","CMOS/Automotive","Speed grade 4","","LVDS_TX / FAST","VEXT","PU1"
"P22.3","R19","QSPI4_M_CLK","QSPI4_M_CLK","Output","Push-pull","CMOS/Automotive","Speed grade 4","","LVDS_TX / FAST","VEXT","PU1"
